fid,Locale,SA1 Main Code,SA1 7 Digit Code,SA2 Main Code,SA2 5 Digit Code,SA2 Name
0,albury_wodonga,10901117634,1117634,109011176,11176,Lavington
1,albury_wodonga,10901117418,1117418,109011174,11174,Albury - South
2,albury_wodonga,10901117404,1117404,109011174,11174,Albury - South
3,albury_wodonga,10901117210,1117210,109011172,11172,Albury - East
4,albury_wodonga,10901117312,1117312,109011173,11173,Albury - North
5,albury_wodonga,10901117416,1117416,109011174,11174,Albury - South
6,albury_wodonga,10901117228,1117228,109011172,11172,Albury - East
7,albury_wodonga,10901117216,1117216,109011172,11172,Albury - East
8,albury_wodonga,10901117231,1117231,109011172,11172,Albury - East
9,albury_wodonga,10901117624,1117624,109011176,11176,Lavington
10,albury_wodonga,10901117616,1117616,109011176,11176,Lavington
11,albury_wodonga,10901117630,1117630,109011176,11176,Lavington
12,albury_wodonga,10901117307,1117307,109011173,11173,Albury - North
13,albury_wodonga,10901117417,1117417,109011174,11174,Albury - South
14,albury_wodonga,10901117632,1117632,109011176,11176,Lavington
15,albury_wodonga,10901117324,1117324,109011173,11173,Albury - North
16,albury_wodonga,10901117326,1117326,109011173,11173,Albury - North
17,albury_wodonga,10901117322,1117322,109011173,11173,Albury - North
18,albury_wodonga,10901117410,1117410,109011174,11174,Albury - South
19,albury_wodonga,10901117629,1117629,109011176,11176,Lavington
20,albury_wodonga,10901117429,1117429,109011174,11174,Albury - South
21,albury_wodonga,10901117213,1117213,109011172,11172,Albury - East
22,albury_wodonga,10901117610,1117610,109011176,11176,Lavington
23,albury_wodonga,10901117625,1117625,109011176,11176,Lavington
24,albury_wodonga,10901117318,1117318,109011173,11173,Albury - North
25,albury_wodonga,10901117413,1117413,109011174,11174,Albury - South
26,albury_wodonga,10901117602,1117602,109011176,11176,Lavington
27,albury_wodonga,10901117631,1117631,109011176,11176,Lavington
28,albury_wodonga,10901117218,1117218,109011172,11172,Albury - East
29,albury_wodonga,10901117628,1117628,109011176,11176,Lavington
30,albury_wodonga,10901117309,1117309,109011173,11173,Albury - North
31,albury_wodonga,10901117232,1117232,109011172,11172,Albury - East
32,albury_wodonga,10901117405,1117405,109011174,11174,Albury - South
33,albury_wodonga,10901117425,1117425,109011174,11174,Albury - South
34,albury_wodonga,10901117203,1117203,109011172,11172,Albury - East
35,albury_wodonga,10901117302,1117302,109011173,11173,Albury - North
36,albury_wodonga,10901117217,1117217,109011172,11172,Albury - East
